id_key	nmea_telegram	update_utcdate
645	$PSCMSM2,135719.00,V,TS,2,H,19.69,1*18	2018-04-20 14:00:26.160
646	$PSCMVTG,132.00,T,136.00,M,3.50,N,6.48,K,A*31	2018-04-20 14:00:26.433
647	$PSCMZDA,135720.00,20,04,2018,00,00*73	2018-04-20 14:00:26.517
648	$PSCMSM2,135720.00,V,TSP,1,X,-0.09,1*42	2018-04-20 14:00:26.767
649	$PSCMSM2,135720.00,V,TSP,1,Y,0.70,1*60	2018-04-20 14:00:26.850
650	$PSCMSM2,135720.00,V,DST,7,,20.13,15*29	2018-04-20 14:00:26.937
651	$PSCMSM2,135720.00,V,TS,2,F,7.00,15*19	2018-04-20 14:00:27.103
652	$PSCMSM2,135720.00,A,TEY,1,H,,15*55	2018-04-20 14:00:27.350
653	$PSCMGLL,5306.65,N,00954.60,W,140022.00,A,A*69	2018-04-20 14:00:27.450
654	$PSCMZDA,135721.00,20,04,2018,00,00*72	2018-04-20 14:00:27.630
655	$PSCMSM2,135721.00,V,DST,1,,61.38,15*22	2018-04-20 14:00:27.797
656	$PSCMSM2,135721.00,V,TSP,1,X,-0.09,1*43	2018-04-20 14:00:27.880
657	$PSCMSM2,135721.00,V,TSP,1,Y,0.69,1*69	2018-04-20 14:00:27.963
658	$PSCMSM2,135721.00,V,TS,2,F,7.00,15*18	2018-04-20 14:00:28.217
659	$PSCMSM2,135721.00,V,TS,2,O,19.38,15*25	2018-04-20 14:00:28.303
660	$PSCMSM2,135721.00,V,TS,2,H,19.38,15*22	2018-04-20 14:00:28.387
661	$PSCMSM2,135721.00,A,TEY,1,H,,15*54	2018-04-20 14:00:28.463
662	$PSCMGLL,5306.65,N,00954.59,W,140023.00,A,A*62	2018-04-20 14:00:28.563
663	$PSCMVTG,118.00,T,122.00,M,3.40,N,6.30,K,A*32	2018-04-20 14:00:28.663
664	$PSCMZDA,135722.00,20,04,2018,00,00*71	2018-04-20 14:00:28.747
665	$PSCMDBS,298.15,f,90.88,M,49.69,F*27	2018-04-20 14:00:28.827
666	$PSCMSM2,135722.00,V,DST,1,,61.56,15*29	2018-04-20 14:00:28.910
667	$PSCMSM2,135722.00,V,TSP,1,X,-0.09,1*40	2018-04-20 14:00:28.997
668	$PSCMSM2,135722.00,V,DST,7,,20.00,15*29	2018-04-20 14:00:29.163
669	$PSCMSM2,135722.00,V,TS,2,C,0.00,15*19	2018-04-20 14:00:29.250
670	$PSCMSM2,135722.00,V,TS,2,O,19.19,15*25	2018-04-20 14:00:29.417
671	$PSCMSM2,135722.00,V,TS,2,H,19.19,15*22	2018-04-20 14:00:29.503
672	$PSCMSM2,135722.00,A,TEY,1,H,,15*57	2018-04-20 14:00:29.580
673	$PSCMGLL,5306.65,N,00954.59,W,140024.00,A,A*65	2018-04-20 14:00:29.680
674	$PSCMVTG,111.00,T,115.00,M,3.50,N,6.48,K,A*31	2018-04-20 14:00:29.777
675	$PSCMZDA,135723.00,20,04,2018,00,00*70	2018-04-20 14:00:29.860
676	$PSCMDBS,298.15,f,90.88,M,49.69,F*27	2018-04-20 14:00:29.940
677	$PSCMSM2,135723.00,V,DST,1,,61.69,15*24	2018-04-20 14:00:30.027
678	$PSCMSM2,135723.00,V,TSP,1,X,-0.09,0*40	2018-04-20 14:00:30.193
679	$PSCMSM2,135723.00,V,DST,7,,20.00,15*28	2018-04-20 14:00:30.280
680	$PSCMSM2,135723.00,A,TS,2,O,19.06,0*09	2018-04-20 14:00:30.363
681	$PSCMSM2,135723.00,V,TS,2,H,19.06,0*19	2018-04-20 14:00:30.610
682	$PSCMSM2,135724.00,A,TEY,1,H,,15*51	2018-04-20 14:00:30.687
683	$PSCMGLL,5306.6487,N,00954.5883,W,140026.00,A,A*63	2018-04-20 14:00:30.793
684	$PSCMVTG,109.00,T,113.00,M,3.60,N,6.67,K,A*30	2018-04-20 14:00:30.890
685	$PSCMZDA,135725.00,20,04,2018,00,00*76	2018-04-20 14:00:30.977
686	$PSCMDBS,298.15,f,90.88,M,49.69,F*27	2018-04-20 14:00:31.053
687	$PSCMSM2,135725.00,A,DST,1,,62.38,15*32	2018-04-20 14:00:31.140
688	$PSCMSM2,135725.00,V,TSP,1,X,-0.09,0*46	2018-04-20 14:00:31.310
689	$PSCMSM2,135725.00,V,TS,2,O,18.94,1*13	2018-04-20 14:00:31.560
690	$PSCMSM2,135725.00,V,TS,2,H,18.94,1*14	2018-04-20 14:00:31.723
691	$PSCMSM2,135725.00,V,TEY,1,H,,15*47	2018-04-20 14:00:31.800
692	$PSCMGLL,5306.6480,N,00954.5870,W,140027.00,A,A*69	2018-04-20 14:00:31.910
693	$PSCMZDA,135726.00,20,04,2018,00,00*75	2018-04-20 14:00:32.090
694	$PSCMDBS,299.58,f,91.31,M,49.93,F*29	2018-04-20 14:00:32.170
695	$PSCMSM2,135726.00,A,TSP,1,X,-0.09,0*52	2018-04-20 14:00:32.340
696	$PSCMSM2,135726.00,V,TSP,1,Y,0.67,0*61	2018-04-20 14:00:32.423
697	$PSCMSM2,135726.00,V,TS,2,O,18.94,1*10	2018-04-20 14:00:32.673
698	$PSCMSM2,135726.00,V,TS,2,C,0.00,1*28	2018-04-20 14:00:32.753
699	$PSCMSM2,135726.00,V,TS,2,H,18.94,1*17	2018-04-20 14:00:32.837
700	$PSCMSM2,135726.00,A,TEY,1,C,0.00,15*46	2018-04-20 14:00:33.007
701	$PSCMSM2,135726.00,A,TEY,1,F,0.00,15*43	2018-04-20 14:00:33.093
702	$PSCMGLL,5306.65,N,00954.59,W,140028.00,A,A*69	2018-04-20 14:00:33.280
703	$PSCMZDA,135727.00,20,04,2018,00,00*74	2018-04-20 14:00:33.460
704	$PSCMDBS,302.45,f,92.19,M,50.41,F*28	2018-04-20 14:00:33.540
705	$PSCMSM2,135727.00,V,DST,1,,63.38,15*26	2018-04-20 14:00:33.623
706	$PSCMSM2,135727.00,A,TSP,1,Y,0.66,0*76	2018-04-20 14:00:33.707
707	$PSCMSM2,135727.00,V,TSP,1,X,-0.09,0*44	2018-04-20 14:00:33.793
708	$PSCMSM2,135727.00,A,TS,2,O,18.94,0*07	2018-04-20 14:00:33.963
709	$PSCMSM2,135727.00,V,TS,2,C,0.00,0*28	2018-04-20 14:00:34.043
710	$PSCMSM2,135727.00,V,TS,2,H,18.94,0*17	2018-04-20 14:00:34.210
711	$PSCMSM2,135727.00,A,TEY,1,C,0.00,15*47	2018-04-20 14:00:34.380
712	$PSCMSM2,135727.00,A,TEY,1,F,0.00,15*42	2018-04-20 14:00:34.463
713	$PSCMGLL,5306.65,N,00954.58,W,140029.00,A,A*69	2018-04-20 14:00:34.650
714	$PSCMVTG,126.00,T,129.00,M,3.70,N,6.85,K,A*39	2018-04-20 14:00:34.747
715	$PSCMDBS,302.45,f,92.19,M,50.41,F*28	2018-04-20 14:00:34.910
716	$PSCMSM2,135729.00,V,DST,7,,19.94,15*25	2018-04-20 14:00:35.250
717	$PSCMSM2,135729.00,A,TS,2,C,0.00,15*05	2018-04-20 14:00:35.333
718	$PSCMSM2,135729.00,V,TS,2,F,6.00,15*11	2018-04-20 14:00:35.417
719	$PSCMSM2,135729.00,V,TS,2,O,18.88,15*27	2018-04-20 14:00:35.500
720	$PSCMSM2,135729.00,V,TS,2,H,18.88,15*20	2018-04-20 14:00:35.587
721	$PSCMSM2,135729.00,A,TEY,1,O,6.00,15*43	2018-04-20 14:00:35.673
722	$PSCMSM2,135729.00,A,TEY,1,C,0.00,15*49	2018-04-20 14:00:35.760
